+,17_1_1_COMPLEX.pgm,17_1_2_COMPLEX.pgm,33_1_1_COMPLEX.pgm,33_1_2_COMPLEX.pgm,33_2_3_COMPLEX.pgm,88_1_1_COMPLEX.pgm,88_1_2_COMPLEX.pgm,88_2_1_COMPLEX.pgm,93_1_2_COMPLEX.pgm,93_2_2_COMPLEX.pgm,93_2_4_COMPLEX.pgm
17_1_1_COMPLEX.pgm,1.0,0.9304832175925926,0.9317666997354498,0.9304212136243386,0.9313554067460318,0.9324132430750078,0.9310793821839081,0.9329011972020447,0.9339285714285714,0.9308263062169312,0.9304935515873016
17_1_2_COMPLEX.pgm,0.9304832175925926,1.0,0.9298054091855321,0.930053425058548,0.9304600084569347,0.9304461367880486,0.9305641078270389,0.9308308952111918,0.9303827576112412,0.9305697859744991,0.9299558450429352
33_1_1_COMPLEX.pgm,0.9317666997354498,0.9298054091855321,1.0,0.93037354390681,0.9303136384335154,0.9322065631808278,0.9313979542966612,0.9321214184826473,0.9331357206861239,0.9305115527393754,0.9302215341781874
33_1_2_COMPLEX.pgm,0.9304212136243386,0.930053425058548,0.93037354390681,1.0,0.930327868852459,0.9302710667600373,0.9299568965517241,0.9305429445789615,0.9304098954396574,0.9309595814132104,0.9296087648022172
33_2_3_COMPLEX.pgm,0.9313554067460318,0.9304600084569347,0.9303136384335154,0.930327868852459,1.0,0.9309762099284158,0.9304465140941434,0.9313395379338176,0.9320111241217799,0.9305270947176685,0.9302953421805881
88_1_1_COMPLEX.pgm,0.9324132430750078,0.9304461367880486,0.9322065631808278,0.9302710667600373,0.9309762099284158,1.0,0.9311610060690944,0.9333907173980703,0.9350003890445067,0.9312655617802676,0.9304193899782135
88_1_2_COMPLEX.pgm,0.9310793821839081,0.9305641078270389,0.9313979542966612,0.9299568965517241,0.9304465140941434,0.9311610060690944,1.0,0.9312782224958949,0.9324285030103996,0.930735153256705,0.9300894567597153
88_2_1_COMPLEX.pgm,0.9329011972020447,0.9308308952111918,0.9321214184826473,0.9305429445789615,0.9313395379338176,0.9333907173980703,0.9312782224958949,1.0,0.9347571125907991,0.9311671879203659,0.9301435969868174
93_1_2_COMPLEX.pgm,0.9339285714285714,0.9303827576112412,0.9331357206861239,0.9304098954396574,0.9320111241217799,0.9350003890445067,0.9324285030103996,0.9347571125907991,1.0,0.931921642985151,0.9308474511599512
93_2_2_COMPLEX.pgm,0.9308263062169312,0.9305697859744991,0.9305115527393754,0.9309595814132104,0.9305270947176685,0.9312655617802676,0.930735153256705,0.9311671879203659,0.931921642985151,1.0,0.9297135016641065
93_2_4_COMPLEX.pgm,0.9304935515873016,0.9299558450429352,0.9302215341781874,0.9296087648022172,0.9302953421805881,0.9304193899782135,0.9300894567597153,0.9301435969868174,0.9308474511599512,0.9297135016641065,1.0
