+,17_1_1_ABS_SQR.pgm,17_1_2_ABS_SQR.pgm,33_1_1_ABS_SQR.pgm,33_1_2_ABS_SQR.pgm,33_2_3_ABS_SQR.pgm,88_1_1_ABS_SQR.pgm,88_1_2_ABS_SQR.pgm,88_2_1_ABS_SQR.pgm,93_1_2_ABS_SQR.pgm,93_2_2_ABS_SQR.pgm,93_2_4_ABS_SQR.pgm
17_1_1_ABS_SQR.pgm,1.0,0.8522766792527822,0.841653158438048,0.8502405146453834,0.8385919640804628,0.8305965363975707,0.8414300695476508,0.8264602962672353,0.8179352510067058,0.8338319592573138,0.8572687242891978
17_1_2_ABS_SQR.pgm,0.8522766792527822,1.0,0.8760053142032865,0.8877653743764121,0.87689254381501,0.8648680217745213,0.8750882220843937,0.858578722044191,0.8466132660227377,0.8642321354055347,0.9009296110926946
33_1_1_ABS_SQR.pgm,0.841653158438048,0.8760053142032865,1.0,0.8707356658134829,0.8614973055178353,0.8530763308188605,0.8633800223524928,0.8479055644408482,0.8365134362355281,0.8519403176486148,0.8814749622458471
33_1_2_ABS_SQR.pgm,0.8502405146453834,0.8877653743764121,0.8707356658134829,1.0,0.8730886507559849,0.8626947044292974,0.8715556297085361,0.8562115579729974,0.8438299566730928,0.8596971881759192,0.8945714763812468
33_2_3_ABS_SQR.pgm,0.8385919640804628,0.87689254381501,0.8614973055178353,0.8730886507559849,1.0,0.8518387647828598,0.8640573238307884,0.847660374415963,0.8359069934361981,0.8513745319420281,0.8824079780493808
88_1_1_ABS_SQR.pgm,0.8305965363975707,0.8648680217745213,0.8530763308188605,0.8626947044292974,0.8518387647828598,1.0,0.8557001089635301,0.8425140760546063,0.8255501106197388,0.8425252505557073,0.8719978783506609
88_1_2_ABS_SQR.pgm,0.8414300695476508,0.8750882220843937,0.8633800223524928,0.8715556297085361,0.8640573238307884,0.8557001089635301,1.0,0.8472505920187733,0.8371732430884842,0.8519810348558439,0.8826734961102981
88_2_1_ABS_SQR.pgm,0.8264602962672353,0.858578722044191,0.8479055644408482,0.8562115579729974,0.847660374415963,0.8425140760546063,0.8472505920187733,1.0,0.8233799827411961,0.8393201682710049,0.865842529354372
93_1_2_ABS_SQR.pgm,0.8179352510067058,0.8466132660227377,0.8365134362355281,0.8438299566730928,0.8359069934361981,0.8255501106197388,0.8371732430884842,0.8233799827411961,1.0,0.8284330757844462,0.8528883036583271
93_2_2_ABS_SQR.pgm,0.8338319592573138,0.8642321354055347,0.8519403176486148,0.8596971881759192,0.8513745319420281,0.8425252505557073,0.8519810348558439,0.8393201682710049,0.8284330757844462,1.0,0.8692315387231658
93_2_4_ABS_SQR.pgm,0.8572687242891978,0.9009296110926946,0.8814749622458471,0.8945714763812468,0.8824079780493808,0.8719978783506609,0.8826734961102981,0.865842529354372,0.8528883036583271,0.8692315387231658,1.0
