+,17_1_1_ABS.pgm,17_1_2_ABS.pgm,33_1_1_ABS.pgm,33_1_2_ABS.pgm,33_2_3_ABS.pgm,88_1_1_ABS.pgm,88_1_2_ABS.pgm,88_2_1_ABS.pgm,93_1_2_ABS.pgm,93_2_2_ABS.pgm,93_2_4_ABS.pgm
17_1_1_ABS.pgm,1.0,0.9284494874338625,0.9292348710317461,0.9283420138888889,0.9269283234126984,0.9296826369436664,0.9293903085659552,0.9293238835082055,0.9293981481481481,0.9291005291005291,0.9289971891534392
17_1_2_ABS.pgm,0.9284494874338625,1.0,0.9295025045537341,0.9278192492844132,0.9291020199063232,0.9328241713352008,0.9289220717022442,0.9253787496637073,0.9285775273224044,0.9270365762425189,0.931029225214676
33_1_1_ABS.pgm,0.9292348710317461,0.9295025045537341,1.0,0.9278273809523809,0.9281729768410096,0.9301032913165266,0.9297067426108374,0.9287984261501211,0.9295494911674347,0.9284974238351255,0.929645497311828
33_1_2_ABS.pgm,0.9283420138888889,0.9278192492844132,0.9278273809523809,1.0,0.9263514832162373,0.9272486772486772,0.9286590893541324,0.9295277609631423,0.9288174760644998,0.9277893785202252,0.9281580687830688
33_2_3_ABS.pgm,0.9269283234126984,0.9291020199063232,0.9281729768410096,0.9263514832162373,1.0,0.9293252023031435,0.9271816844553914,0.9258054210384719,0.9269613583138173,0.9262498373666407,0.9282929189435337
88_1_1_ABS.pgm,0.9296826369436664,0.9328241713352008,0.9301032913165266,0.9272486772486772,0.9293252023031435,1.0,0.929578081232493,0.9251940359477124,0.9286322167755992,0.9269568938686585,0.9312801509492686
88_1_2_ABS.pgm,0.9293903085659552,0.9289220717022442,0.9297067426108374,0.9286590893541324,0.9271816844553914,0.929578081232493,1.0,0.929736675561029,0.9295955630815544,0.9286697796934866,0.9292000205254516
88_2_1_ABS.pgm,0.9293238835082055,0.9253787496637073,0.9287984261501211,0.9295277609631423,0.9258054210384719,0.9251940359477124,0.929736675561029,1.0,0.9309086629001884,0.929861951842884,0.9274007095776163
93_1_2_ABS.pgm,0.9293981481481481,0.9285775273224044,0.9295494911674347,0.9288174760644998,0.9269613583138173,0.9286322167755992,0.9295955630815544,0.9309086629001884,1.0,0.9289514528929852,0.9301053113553114
93_2_2_ABS.pgm,0.9291005291005291,0.9270365762425189,0.9284974238351255,0.9277893785202252,0.9262498373666407,0.9269568938686585,0.9286697796934866,0.929861951842884,0.9289514528929852,1.0,0.9276153673835126
93_2_4_ABS.pgm,0.9289971891534392,0.931029225214676,0.929645497311828,0.9281580687830688,0.9282929189435337,0.9312801509492686,0.9292000205254516,0.9274007095776163,0.9301053113553114,0.9276153673835126,1.0
